,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive,Algerian Dialect,auto_annotation,result
0,Mokran Tarak,http://www.youtube.com/channel/UCles9OFN0NgktkXVvtdBzHw,فمك كبير من وجهك تقبلي في كميرة وجهك صحيحة,60,2020-12-24T21:27:56Z,p,,n,0.0
1,Hicham Absaoui,http://www.youtube.com/channel/UCzuY7uYl2regXlu_WKmtCYQ,سلام الله عليكم ورحمته وبركاته قلولهاةتزول الكوة كرستين من عنقها,0,2021-04-23T05:12:41Z,n,,n,1.0
2,Miss Loona,http://www.youtube.com/channel/UCTnw4ZGfNylgSJ1Z1lg1kuQ,افهمي حاجة النداء يكون بصفة الجمع لي مش معني راح يفهم روحو انو مش معني الاخت حنا عارفين خاوتنا واباءنا بلي نخوة ورجال تاع الصح وهم ثاني علابالهم متستنايش تسميلك المعنيين بالواحد هذا محمد وهذا الزوبير وهذا عنتر وتعقفب عليهم بالواحد اذا واحد معجباتوش هدرتها فهو معني وهو من الفية هذه يخي نتي تعرفي خوك وتعرفي باباك مالا لاه يغيضك الحال اذا هم مش من هذوك الناس اعرفي بلي الخطاب ينقال بصفة الجمع ومش تخصيص بالفرد والباقي عليك كيفاه تفهمها,1,2021-04-22T11:40:22Z,n,,n,1.0
3,Amani Maryola,http://www.youtube.com/channel/UCBkuU6BHLiKCfNRbrBcQ9rQ,مش تقصد رجال اي تقصد خوك باباك يعني كل رجال الجزاير وهي بعد تقصد باباها وخوها,1,2021-04-22T09:37:04Z,n,,n,1.0
4,Miss Loona,http://www.youtube.com/channel/UCTnw4ZGfNylgSJ1Z1lg1kuQ,لي غاضتو معناها راهي عليه,2,2021-04-22T09:23:21Z,n,,n,1.0
5,Amani Maryola,http://www.youtube.com/channel/UCBkuU6BHLiKCfNRbrBcQ9rQ,بركاي ما تكتبي وتعاودي اشتراك منشتاركوش,1,2021-04-21T20:56:56Z,n,,n,1.0
6,ام فاطمة الزهراء,http://www.youtube.com/channel/UCxrJG2OSohZwT5zeXzFA0sQ,عندك صح هادو لي هاجموك فهمو بلي راكي عليهم برك انا وحدة صح عانيت من هاد الوحوش لي,0,2021-04-25T19:41:12Z,p,,n,0.0
7,blanca flor,http://www.youtube.com/channel/UChh4Y9OK1oNF59NSnlcxW6Q,عندها الصح,0,2021-04-25T04:12:49Z,n,,n,1.0
8,blanca flor,http://www.youtube.com/channel/UChh4Y9OK1oNF59NSnlcxW6Q,المغتصب خصو الاعدام,0,2021-04-25T04:11:06Z,p,,p,1.0
9,Pearla léa Qween,http://www.youtube.com/channel/UCp69ELn0Q41jLghQhL9eRUg,ياعباد الله راهي تحكي على المغتصبين والمتحرشين وعندها الحق في واش قالت اللي قاسوا لكلام هو ثاني متحرش ومغتصب وبيدوفيل والنوع هذا صح يستاهل تعذيب,0,2021-04-23T09:26:45Z,p,,n,0.0
10,Hicham Absaoui,http://www.youtube.com/channel/UCzuY7uYl2regXlu_WKmtCYQ,سلام الله عليكم ورحمته وبركاته نتي مشي مسلمة اللي كريتين الكروة لي في عنقك نتاع كرستين,0,2021-04-23T05:15:22Z,p,,n,0.0
11,Haddou Sifou,http://www.youtube.com/channel/UC0NY_6x_a0XHVtwq47kdomw,هدرتك قاع ااصح,0,2021-04-22T14:02:12Z,n,,n,1.0
