bad_word,classification,severity
مهبول,سخرية,9
جايح,سخرية,3
زبل,سخرية,5
خرية,سخرية,5
الله يلعنك,سب,10
بلع فمك,سخرية,5
متخلف,سخرية,8
جايح,سخرية,4
بغل,سب,9
مسطاشة,تحرش,7
حمارة,سب,2
عطايا,سب,10
حيوان,سب,9
وي السلعة,تحرش,7
نقتلك,تهديد,9
تافه,سخرية,8
قود,سب,10
رخيس,سب,9
حمار,سخرية,5
تفو,سب,2
عاقر,سخرية,10
بلعه,تهديد,5
مال ربك,سب,10
سمينة,سخرية,7
خرا,سب,5
نيك امك,سب,7
نيك مك,سب,9
نيك امك,سب,10
قهوي,سخرية,10
يا الكعبة,سب,5
كعبة,سب,7
تافه,سخرية,1
رخيس,سب,7
كافي,سخرية,6
هايشة,سب,6
رخيس,سب,9
ساقطة,سخرية,9
معفون,سب,5
يا الزح,سب,7
متعرف والوا,سخرية,5
معقد,سخرية,7
نقتلك,تهديد,10
جايح,سب,7
كلب,سب,10
بغلة,سب,2
خماج,سب,7
خامج,سب,9
كافي,سخرية,7
ينعل والديك,سب,8
خامج,سب,9
جايح,سخرية,9
موسخ,سخرية,8
رخيص,سب,7
قحبة,سب,9
حابس,سخرية,9
حمار,سب,10
خماج,سب,6
نحيلك سروال,تحرش,6
 حمار,سب,5
نيك اختك,سب,7
زبي,سب,9
زبي,سب,9
كعبة,تحرش,10
اخرجلي طابي,تهديد,10
قهوي,سخرية,8
كلب,سب,5
شماتة,سب,6
ڨليط,سخرية,5
حمار,سب,7
الله يلعنك😡,سب,10
بلعيه,تهديد,8
رخيس,سب,8
رخيس,سب,6
نت متفهمش,سخرية,6
حيوان,سب,7
نحرقك,تهديد,10
مقطعة,سخرية,10
زبل,سب,10
جايحة,سخرية,3
قودي,سب,8
ليك غير القمع,سب,9
خامجة,سب,9
انت دير هادي,سخرية,6
طحان,سب,9
فرخ,سب,8
مشحاح,سب,5
نقش,سب,9
قحابجي,سب,9
فايحة,سب,4
بغل,سب,10
عطاي,سب,7
طحان,سب,6
 قود,سخرية,6
قحبة,سب,7
عطاي,سب,8
بومبا,تحرش,6
بلع,سب,10
يا ولد القحبة,تحرش,5
كافي,سخرية,5
جايح,سخرية,6
بهلول,سخرية,7
تفو,سب,10
منغولي,سخرية,8
ديوث,سب,8
كلبة,سخرية,6
فرخ,سب,9
إيكستارن حقير,سخرية,4
قليط,سخرية,8
نقطعك,تهديد,9
نذبحك,تهديد,10
حمارة,سخرية,9
ينعل بوك,سب,10
حايرة,سخرية,3
دايرة كيزبي,سب,10
نجي نتفاهم معاك,تهديد,8
سوسيالة,سب,9
شاهي لاتاي تاعك,تحرش,9
بغل,سخرية,10
بهلول,سخرية,5
ڨليط,سخرية,6
عطاي,سب,10
راضي,سخرية,8
 بغل,سخرية,10
كلب,سب,7
غادي نيكك,تهديد,8
كبول,سب,6
 نيك مك,سب,10
قود,سخرية,5
بهلول,سخرية,7
ترمة,تحرش,9
قليط,سخرية,10
يا سي زبي,تحرش,8
بوصبع,سخرية,10
حمار,سب,9
مونڨول,سخرية,10
جايح,سخرية,5
خامج ,سب,9
موسخ,سب,5
قحبة,سب,9
قحبة,سب,10
حمار,سب,7
حابس,سخرية,6
الحبة,تحرش,6
بهلول,سخرية,5
قود,سب,10
مك,سخرية,10
طويل بلا خصلة,سخرية,3
في سرية تامة,تحرش,10
ينعل والديك,سب,10
شماتة,سب,9
مجلخ,سب,8
حمار,سب,9
موسخ,سخرية,6
مرنكة,سب,5
نيك مك,سب,10
ديوث,سخرية,8
قرد,سخرية,10
بغل,سب,7
نعلدين بوك,سب,10
تموت على يدي,تهديد,8
 قحبة,سب,10
نعدين باباك,سب,9
عريضة,تحرش,10
قحبة,سب,10
مبعر,سب,10
فرويتي,سخرية,3
زواف,سخرية,10
خرية,سب,6
فرويتي,سخرية,8
تفاش,سخرية,5
قحب,سب,10
نقتلك,تهديد,8
نڨعد عليك,تحرش,8
ملقطة,سخرية,9
جبهتك سطاد,سخرية,5
متسواش,سخرية,10
 مشي مربية,سخرية,6
بلارج,سخرية,4
نحرقك,تهديد,10
قود,تهديد,4
سلوم ليشية,سخرية,3
صوصيالة,سخرية,8
نيفو با,سخرية,8
شكامة,سب,8
نفركعك,تهديد,9
بوهالي,سب,7
نقتلك,تهديد,10
شينة,سخرية,5
ولد القحبة,سب,10
شكام,سب,9
حلاب,سخرية,9
 درجتيني,سب,5
رخيس,سب,8
نع دين نهارك,سب,6
نعدين بوك,سب,8
نيك ربك,سب,10
نيكك,تهديد,10
كرفة,سخرية,5
قود,سب,10
نقتلك,تهديد,6
عميق,سخرية,4
كلب,سب,5
عڨون,سخرية,7
خانز,سخرية,7
فرخ,سب,10
نقلعلك يماك,تهديد,8
نفضحك,تهديد,8
متشبه لوالو,سب,5
ڨملة,سب,4
تحشم,سخرية,6
عريانة,تحرش,7
لعور,سخرية,7
عورة,سخرية,10
غبي,سخرية,9
البايرة,سخرية,3
وجه الطاوة,سخرية,4
وجهك كي الخر,سب,10
نقش,سب,10
تخورجي معايا,تحرش,8
نقتلك,تهديد,7
نذبحك,تهديد,10
مسمومة,سب,5
نيك سوة تاع مك,تهديد,10
فرخ,سب,4
عليتيني,سب,5
تدرج,سب,5
تمنييك,سخرية,3
فمك جلغة,سخرية,6
رخيس,سب,8
يالمليح,تحرش,7
العبلي بيه,سب,7
نقش,سب,9
خانز,سخرية,10
قود,سب,4
مريول,سخرية,4
معجون,سخرية,7
هايشة,سخرية,5
شكم,سب,9
بهيمة,سب,8
حمار,سب,10
ما تسواش,سب,8
ينعل دينك,سب,10
ينعل دين امك,سب,10
ينعل دين ابوك,سب,10
كافيا,سخرية,3
ماشي شباب,سخرية,6
حاجة فيك ماهي شابة,سخرية,6
نحرقك,تهديد,8
بايرة,سخرية,10
بايرة,سخرية,10
خانز,سب,7
العاقرة,سخرية,3
عاهرة,سب,10
عروبي,سخرية,10
قليط,سخرية,10
مشي ولد البلاد,سخرية,10
قليط,سخرية,5
ينعل طاسيلة تاعك,سب,9
تربى,سب,9
نكرهك,سب,7
درجة,سب,5
قحبة,تحرش,10
خامجة,سخرية,4
يعل,سب,5
حرايمي,سب,9
قحبة,سب,7
راس الدلاع,سخرية,7
زبل,سب,7
اعطينا نيكو,تحرش,5
نكففلك,تهديد,6
كز,سب,7
نقطعك,تهديد,10
ثكلتك امك,سب,1
ولد القاف,سب,10
بغل,سب,7
حمار,سب,10
ختك,سب,10
كلب,سب,10
بغل,سب,10
كبول,سب,10
كلب,سب,10
حثالة,سخرية,7
حمار,سخرية,10
نذبحك,تهديد,7
حابس,سخرية,6
معوق,سخرية,9
 حمارة,سب,7
جايح,سخرية,8
بلع فمك,تهديد,5
وي السلعااا,تحرش,7
نلحسهالك,تحرش,10
ذري,سخرية,10
106,سب,8
نفركتلك الدار,تهديد,9
نحكمك نهردك,تهديد,9
قواد,سخرية,9
تعلي,سب,5
106,سب,7
منحرف,سخرية,5
بز,سخرية,10
وليد الحرام,سب,10
رباني,سب,10
واش هاذ الماتريال,تحرش,8
 عطاي,سب,10
نيكلك يماك,تهديد,7
نقش,سخرية,8
عطاي,سب,9
كافي,سخرية,10
ارواح نتقابضو,تهديد,2
ن.م,سب,8
صامط,سخرية,8
بينازة,سخرية,6
مك,سب,10
رخيس,سب,8
عطيني نيميروك,تحرش,8
بغل,سخرية,8
عورة,سخرية,10
مقطعة,سخرية,9
طلابة,سخرية,9
طلابة,سخرية,9
متشرد,سخرية,8
بغلة,سب,9
كلبة,سب,8
صوصيالا,سخرية,9
خماج,سب,6
عميق,سخرية,7
عطاي,سب,10
قاع كي داير نت,سخرية,9
رهج,سب,6
قحبة,سب,10
دنفة,سب,3
حمار,سخرية,6
نكتلك,تهديد,9
نقتلك,تهديد,9
جايح,سخرية,10
حلوف,سب,9
خرا,سخرية,5
بابا عجينة,سخرية,7
نقش,سب,10
عاهرة,تحرش,6
حتشون,سب,10
قديم,سخرية,4
صايي بزاف,تهديد,1
كرفة,سب,9
حابس,سخرية,6
قوّد,سب,5
عور,سخرية,6
زيرو,سخرية,7
مبلع,سخرية,5
