,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive
0,Madjid Bousbaa,http://www.youtube.com/channel/UCAsxQ2W2D-G-Jn-zjli-dzw,قالك قط جيعان طاح في شحمة فايحة ونتي هي الشحمة لفايحة ما القط طالب ياكل برك والحديث قياس تافهة,1,2020-10-21T13:13:17Z,p
1,Bachir,http://www.youtube.com/channel/UClFpjc4j66WyxuSbWOXI72A,شوف داك لون ديك الهدر تفو عليها كمار,1,2020-10-21T12:03:58Z,p
2,FATEH DZ,http://www.youtube.com/channel/UCr9lAlK4HkvDaujnBWEp9NQ,حسب ما سمعت هذا الفيديو فانها قالت الحقيقة التي لم تعجب البعض لكن للعلم هذه قضية للالهاء مصنوعة في مخابرات عبلة فيقو يا بشر انا اساندها فيما قالت لانه شعب رخيس شمايت حشا البعض,0,2020-10-21T11:37:06Z,p
3,Minou Amine,http://www.youtube.com/channel/UCK8lMfKE_30yy8u3pP_JATg,مزال مفهمتي علاه لازم تغطي قطعة اللحم وهذا لي تتزوجي بيه حيوان تان معلابالكش كيفاه يخزر كان عليها ان تقرا على نظرة الرجل بالنسبة للمراة التي لا تستر نفسها في الشارع وتتمايل تتملق في كلام تلبس الكعب العالي انا شخصيا ندعيلهم بالهداية لانهم دايرين فتن فسدو رجال على نساهم يخرج برا يشوفو الشعر المسرح والمصبوغ اللباس المكسوف بانواعه يدخلو للدار يلقاو منهم بجبة مطاشية بجافيل شعر مكشرد لان ولادها مخلاولهاش وقت نهار كامل تجري متلحقش وهنا تكون الصدمة حتى لو لبست مرة على مرة متقدرش تكون بنفس مستوى هذيك الموخدة لي برى لذلك ننصح شاباتنا بالحجاب والعفة وشبابنا بغض البصر والعفة,0,2020-10-21T10:11:05Z,p
4,Ranya Hami,http://www.youtube.com/channel/UCPcu9aSR_GDmfFxrSACQPrA,قولي حسبتك راكي تهدري بترامك تفو روحي شوفي روحك منبعد هدري على الزعامة ولاد الجزاير يا وحد البايرة,0,2020-10-21T09:33:13Z,p
5,Ours Polaire,http://www.youtube.com/channel/UCNxbOuxTEUp7eADLo7ajPpQ,واش راه يقول جعفر ياينه صاحبها الجزايري خطب ولا تزوج راهي مقهوره وخلطت كامل سيادك الجزايريين يا الجايحه تفو عليك تعيفي,0,2020-10-21T06:41:22Z,p
6,mascara 29,http://www.youtube.com/channel/UCqoUDoX_sy54Ebc19wv2o_g,خرية ضاربة فيها الشمس,0,2020-10-21T03:47:32Z,p
7,bèutŷ gïrl,http://www.youtube.com/channel/UCJhhADG8dH00-jh1o_HKSzA,مونية ربي يشافيك ان شاء الله روحي اجري على روحك وزيد دايرة صليب في عنقك نتيا جزايرية نتيا وتهدري على متحجبات شوفي روحك فلمرايا ومبعد حلي فمك على متحجبات حمد الله يا ربي زعما نتيا تصلي شكيت قبلة متعرفيهاش منين جاية وجاية تهدري على رجال لي منهم باباك وخوك وراجلك ايلا لقيتي لي يدي وحدة كيفك وبالاك رايح يكون وليدك ربي يهديك راكي كبيرة طفلة صغيرة تحشم على قدرها ماشي كي حالتك تشفي والله لابوبال,4,2020-10-21T02:39:15Z,p
8,Draifi Djamel,http://www.youtube.com/channel/UCmxiaWEBYGF8J5eMjc7LD0Q,يا ناس خممو شويا راكم اطيحو في المستوى كي راكم اترجع لها انا واحد من الناس اقسم با ربي السماوات مانعرفهاش اصلا هاذي خطة تاع الدولة باه التي الشعب راهم داروها ديجا مع نعيمة صوالحي او دوك جاو الهاذي هاذو فوران التاجرب كل مايحبو اتلفو الشعب اجيبو حمار اضحو بيه كي افوتو الانتخابات تطلب السماح او هوما يلحقو للهدف التاعهم او تعاود تسرق الشمس كي لبارح كيليوم نتاسف علي زينها مسكينة معبدلبلهاش وجها ماعندوش فرق كبير بينها او بين الحمار حشا الملايكة التاعها على خاطر لوكان مكاش حلابين الزك في بلادنا او عباد النساء والله ماتلحق تهدر هاذ الكلام للاسف الشديد والسلام,0,2020-10-21T01:21:16Z,p
9,Oum Ninou,http://www.youtube.com/channel/UCrkwwevlVnP-gYOoja1nmeg,فلحقيقة ضحكتيني كي قلتي كنت انا اميرة الغاشي كامل يخزر فينا بلاك خلعتيهوم لخطرش شافو حيوان جديد يدور فدزاير لخطرش الفاشة انتاعك بلماكياج او تخلع خلي بلا ماكياج نقولك تحبلك باش تسبي السبوعة انتع بلادك سيادك الي نتي تعرفي الرجلة النيف انتاعهوم يا وحد الجيعانة روحي ربي روحك امبعد ارواحي انبحي او ريقي علينا,0,2020-10-20T22:11:31Z,p
10,djamblouze morad,http://www.youtube.com/channel/UCaaEU6j3iNnXKvFvW2UUVIA,بلع يا عيشة راجل,0,2020-10-20T22:07:01Z,p
11,Mohamed Az,http://www.youtube.com/channel/UCTjXLywRx2Xn7LzClcm6NPA,الانترنيت رجعت العالم قرية صغيرة ورجعت مونيا خرية كبيرة الله غالب نضحكو علي وجهك يا جغانة بصح يضهرلي رنا نسنا فيديو فيه اوو مايڨود يايما,0,2020-10-20T22:04:01Z,p
12,انوثة طاغية,http://www.youtube.com/channel/UCurEdpcwjoKryqa8klgwu4Q,يخي حالة تفو عليك زعما انتي فنانة انتي فنانة تفو عليك,1,2020-10-20T21:26:11Z,p
13,ثقف نفسك,http://www.youtube.com/channel/UCZTmsOr6E7-1d9eHSyJP97A,جمهورية بغلة يونايتد جزاير رجلة,0,2020-10-20T21:10:18Z,p
14,Roza Roza,http://www.youtube.com/channel/UCfhvqFl-jq6COf4GVrxVuDw,البايرة,0,2020-10-20T20:44:13Z,p
15,fifi yanis,http://www.youtube.com/channel/UCa5exTcLuaiHcynBxtKsaKQ,عندها الصح والله بردتلي على قلبي كاين رجال اغلبيتهم كي الكلاب كل مايشوفو مراة يريقو عليها بالرغم عندهم فحلات في دار تفو عليهم,0,2020-10-20T20:44:02Z,p
16,Adel Adel,http://www.youtube.com/channel/UCjP6nfqa_7Nz_2ZV-xWj32Q,وانت خامجة كيفها طريقتها في الكلام تدل على انها بنت شوارع,1,2020-10-22T22:43:19Z,p
17,3mirovich Amiro,http://www.youtube.com/channel/UCGPoC0A_1J5Fhdl6jKI2i9A,شكون هذي خرية لي خرجت جديدة زعما زعما في دارهم دور بسليب وخوها فرحان بيها,0,2020-10-20T19:43:49Z,p
18,Hayat Hallouche,http://www.youtube.com/channel/UCI6QjjztfNDYof9R_a-tqhg,106,0,2020-10-20T19:00:08Z,p
19,تكنو لوجيا,http://www.youtube.com/channel/UCyxQcz7DP3HgHeZJIbWxzdg,صح مونيا فغول معندهاش حق باش تقول على لانسان حيوان بصح انا تبانلي صح في واش راهي تقول لوكان مشافتش العوج مكانتش تهدر هكذاك رانا عايشين كمل في بلاد وحدة علابلنا واش راه صاري منغطوش الشمس بالغربال,0,2020-10-20T17:38:06Z,p
20,celia sisi,http://www.youtube.com/channel/UCFBOdtV4ppMHLvXYX5qF3tg,انا راني معاها كاين فية من لي جان والله غير يلقاو كلبة يدنقو ليها يتبلاوها ربي يهدينا,0,2020-10-20T17:13:41Z,p
21,الهاك tv,http://www.youtube.com/channel/UCeIH_qgDwD-5JG6pYSVL8Lw,الدخيره غاليه والهدف رخيس,0,2020-10-20T14:30:16Z,p
22,Wael 31 Wael,http://www.youtube.com/channel/UCBjRftVXmjkQndwlhL55JSQ,انا لن ارد عليها لانني اعرف اني لن استفيد شيء ولكن التجاهل يرجع اي انسان او حيوان مثلها حشاكم الى حجمه مونيا انتي لما قلتي حيوانات هل ابوكي وامكي من ضمنهم كان عليك القول بعض الرجال المغتصبين وليس الجزايريين لاننا لسنا حيوانات,1,2020-10-20T14:16:14Z,p
23,nour baghdadi,http://www.youtube.com/channel/UCIb95gUWAb4IbA10tDKCWPA,الله غالب عليك مونيا مكانش الي قابرك ولا داها فيك مسويتيش الله غالب معليش رقي بالاك يجيبلك ربي بالاك على ربي ولا نقولك روحي عند ولاد خيرة يقطعولك بسبع حبات قمع في ودنك بالاك يجيبلك ربي بايرة معليش,0,2020-10-20T13:58:30Z,p
24,توم و جيري اشترك,http://www.youtube.com/channel/UCGpPsf8QsjF9Uv9b52XdY_g,عطايا,0,2020-10-20T13:18:36Z,p
25,TAJ ff,http://www.youtube.com/channel/UCYXLem4u8jNDcnN_mUL2MTQ,ختك,0,2020-10-20T13:12:09Z,p
26,Manel Manel,http://www.youtube.com/channel/UC8xipZaCfixqGxOVGNdif-Q,عندها الحق مطلقتو لا متحجبة لا عريانة,0,2020-10-20T13:04:12Z,p
27,سارة سارة,http://www.youtube.com/channel/UCvCnV9ZpmJk8g8xIvkixxuQ,نا نهدر لحق هذي لبنادم انا اصلن منحبهاش من عند ربي مي في حوايج عندها الحق ونتوم للاسف شعب متحبوش الكق انا راني نشوف برا يشوفو طفلة فايتة يسكانيوها ملفوق لتحت حتى لمشية تتلفلك مالغري مستورة ولابسة حاجة طويلة وعريضة انا نلبس هكذ اتوجور بلمستور وراصي منهزوش مي هكاك وديفوا نتعرض لهذي ظاهرة تكحال وتدناڨ بزاف تقول شافو منعرف وشنهي يخي رانا عباد كيما نتوما لحم ودم هذا مكان يشوفو وحدة عريضة برا تكون مستورة ولابسة طويل ولعريض مي علاجال كي عادت عريضة ميطلقوهاش بعينيهم ياكلوها ومبعد تلعبوها معلابالكمش بلبنات وبنات لجزاير فيهم وفيهم و كن راه كل وا حد حاكم دينو وصلاتو وكل وحدة متبعة دينها ومستورة كن رانا في هناء اسفة على هذا لكلام مي هذا هو واقعنا مخلوعين بزاف حتى تحشمي تمشي مع خوك ولا باباك مهم واحد مايجي يشرك فمو معايا راني نهدر على فية معينة ولبنات لي معريين ولابسين لبسة مونيا نقلكم تستاهلو خاطر نتوما لي حابينها لرواحكم,0,2020-10-20T12:27:27Z,p
28,Africain du Nord,http://www.youtube.com/channel/UC-UyKTLKXavHD2ExVZX9v1w,شوفي الفيديو مليح وجربي تفهمي الكلمات وفي الاخير تلقاي روحك بلي الشعب هو الصحيح ونتي رفادتها شكامة حاشاك ماكانتش تقصد فية لوكان جات تقصد فية توضح ارواحي نتي ودخليهالي في راصي تقولك كبير صغير مشايخ ومبعد تقول حنا يعني قاع حنا على شكون قالتها قالتها على الشعب الجزايري ياك هي منهم ملخر هاذي ما تعرفش تهدر وسلام عليكم,1,2020-10-20T17:56:30Z,p
29,Hadil Hadil,http://www.youtube.com/channel/UCPt9QYaAMFv2cTvzKxw1TvQ,باختصار ياخي حمارة,0,2020-10-20T12:15:34Z,p
30,kim yuna,http://www.youtube.com/channel/UCJyslFf8NcrKNJvQ7NQ0Jvg,كيديرا على حالتها لزينة تروح تربي روحها في تجي تهدر على جزاير هدي اصلا منعرفهاش حاسبة روحها مشهورة عورة بصح هدو الشباب الله غالب لا مشي مربيين الله غالب مكان كندلهوم بصح المربي لد الفملية مسلم الحقيقي ميدريش هكا,0,2020-10-20T11:26:52Z,p
31,Mohamed Djaafar,http://www.youtube.com/channel/UCno6VGEC7CTTF6ANDS_fQag,كيما قلتي ربي يهدي كل الامة الاسلامية بصح هي لازم تحشم,0,2020-10-29T11:27:05Z,p
32,جنتي اولادي,http://www.youtube.com/channel/UCSVJ0uLxXosycXHBVIeJzsg,راهي توري في روحها فقط ملقاتش حتى كلب يشوف فيها او غايضها الحال,0,2020-10-25T11:21:17Z,p
33,Minoucha Nina,http://www.youtube.com/channel/UCREj9KaW5UZF1ENW0F9NuJA,حنا دزايريين خط احمر والله هاذي تدخل عندنا نعاملوها كي كلب,0,2020-10-20T10:33:39Z,p
34,أسيل مينوشة,http://www.youtube.com/channel/UCVyzQoUhxkvW9-CduuJ-5Fg,علابالك نحصاب وجه وخدوخر مصنوع بالمكياج ديري فيوجهك 2كيلو تع مكياج وقولي يرڨو علي وديجا علاه يريڨو مهبولين اومپلوس رجال ماشي ڨاع كاين يخزرو ماشي درجة تاع يرڨو الله يهديك,1,2020-10-20T10:10:09Z,p
35,شيرو غولام,http://www.youtube.com/channel/UCHHe7QTCMxxOOsctgK0Gg4Q,خامجة نقمتها خرج عليها قاعدة زي فغولة,0,2020-10-20T09:44:51Z,p
36,Zineb Zu,http://www.youtube.com/channel/UCReYmPxNM-Yzv68xlzlFbbQ,اكبر خامجة ومعفونة في الجزاير,0,2020-10-20T09:39:25Z,p
37,Amani Mina,http://www.youtube.com/channel/UCVGfsG0eXr7P4aTDe5Hv7RQ,كلام في الصميم صح واش قالت حرف حرف هي هدرت على فية معينة رجال باين حيروني نساء لي يسبوها صافا حق ربي تعيفو من لخر في طريق جلبابية يتحرشو بيها ماشي زعما جلباب الوان ولا جلباب كحل بلا ماكياج والو طفلة ملتزمة حتى للطرف تقرا معايا جاو يتبلاوها انا نخلعت لي يجي يقولها مخصكش اخينة زين دين خصك غير نيميرو مشكل طفلة عادية جدا ماشي لي تفتن ولا شابة شعب ما يسواش غزات مونية النساء مرة جاية هي لي لازم تقصفكم وليتو يعجبكم تحرش وقيل جابلي ربي نتوما تان وليتو شاتيين خماج كي غاضكم الحال وليتو تحبو يتبلاوكم ماشي شرط تحبيها مام تكرهيها قالت كلام تجيبلكم حقكم بصح تموتو على الذل نتوما ربي يسلطو عليكم ان شاء الله منافقين بزاف لي يقول باباك خوك لوكان نعرف بابا خويا هكدا سبتهم ما تغيضنيش تان عليهم باسكو لافوت فيهم ادا بابا يتبلا بنات رجال خواتات رجال يستاهل عادي هي قاست فية معينة من رجال عندها الحق بزاف كل واحد ادا قبل خماج على ختو يقبلو على بنات ناس ادا قبل ختو يدناولها تم معليش يدنا لبنات ناس تعيفو ربي حرم على راجل المراة فيزوج مقالش الزانية برك قالك الزانية الزاني مي نتوما كيشغل راجل ربي ما يحاسبوش لالا ربي يحاسب بالمراة بالراجل,0,2020-10-20T09:15:57Z,p
38,Nabila Benjeddou,http://www.youtube.com/channel/UCmW9PIVBfdmzbp1XAL5vv7g,كنت نحبك يا مونيا بصح دك وليت نكرهك بعد هاذا فديو واش بيك مخلوعة في روحك نتي بشر كيما كامل الناس,0,2020-10-20T08:41:44Z,p
39,Khaled Redha,http://www.youtube.com/channel/UCe12aPRe0qgtzG9B8zedwNg,تفو عليك بصقة خسارة فيك,0,2020-10-20T08:05:56Z,p
40,LAIFAOUI YAZID,http://www.youtube.com/channel/UC9xgjqX_dBYSBSi5avQQgrQ,ولا شافو وحده عريانه مشي محتشما مشي ماسلا ماعندهاش علامن تحشم كما نني معندكش علامن تحشمي كان عندك ماليك مكي دايرا هاد التبهدايل,0,2020-10-20T03:21:51Z,p
41,Saga Sag,http://www.youtube.com/channel/UCTMHCT3Chgm8DpiZy3_wHWg,هذه المراة تتكلم بي عفويه وياللاسف الشديد تتكلم علي الحقيقه المره التي نعيشها يوميا واقول هي لا تقصد بها للرجال الذين يمتزون بي فحولتهم وشجاعتهم تتكلم عن شريحه توجد في المجتمع الجزايري للاسف الشديد واردت ان تممر رساله علي جال التعلبقات الجارحه التي كانت فيحق المغدوره المرحومه شيماء رحمها الله وللاسف الشديد مجتمعنا متخلف واتحد كل من يقول العكس احنا في بلادنا كي يهدر واحد الحق نتهجمو اعليه هي تكلمت بطريقه مباشره وكلامها مفهوم يعني هذا واش رنا نعيشو كل يوم ولكن هي شريحه في المجتمع ولي راه احس روحو رهي تهدر اعليه اروح ادوي ولكن ليس كل الرجال علي بعضها وشكرا والصلاة والسلام علي رسول الله استغفر الله لي ولي اخواني المسلمين,0,2020-10-20T01:55:01Z,p
42,اندي دروير خواطرية,http://www.youtube.com/channel/UC72G5RTa_BAkw2xx8h_Xs2Q,روحي روحي علبالك درك كلش يفوت يبقا غير العيب فيك يا البايرة يالخامجة,0,2020-10-20T00:43:38Z,p
43,{ *youni* },http://www.youtube.com/channel/UCRi-Hj95VtrfdD-J9dW5aoA,لكل ساقطة لاقطة الذبان يدور على الفوحة والجيفة والنحل يدور على الورد وافهم يالفاهم,0,2020-10-20T00:33:42Z,p
44,chechanya 3beid,http://www.youtube.com/channel/UCSk8oIwBkMl4BralkmcuvBQ,محتوى تافه كما الدي يتحدت فيه,0,2020-10-19T23:43:10Z,p
45,Hammoudi amel,http://www.youtube.com/channel/UCPv08dZWCyGdGJ1HdM6GD5w,ياخي عريانة روحي نحي هداك المكياج ورواحى قابلينا الا قدرتي والله متقدري تخرجي من داركم بلا مكياج وتجي تهدري في سيادك,0,2020-10-19T23:02:11Z,p
46,Chahd Fanoma,http://www.youtube.com/channel/UC-b16jfbnWiQ0kkWJDPbc6w,راكي تافه يا شعر الباقيتي وثاني يا راس ااكابوية سلفيلنا شوينديرو بيه البروشة الغد,0,2020-10-19T22:53:13Z,p
47,Abdou Motta,http://www.youtube.com/channel/UCr2TFedvIe3V0qCOe22D-nw,اولا الله يهديك يهدي الامة الاسلامية ثانيا ربي كي دار الحلال الحرام ما شاورناش غريزة الرجل طبيعية كالحيوان لكن الله اكرمنا بالعقل يعني نتصرفو بيه يا ختي رانا فال 2020 لعرا ترنديف وبنات الناس بارو ولاد الناس بطلو ما حبوش يزوجو لحم ولا رخيس كاين الي ماشي تاع حرام قلبو ما يخليهش تربية والديه يقعد يشوف فالفضايح ينسى روحو يتكاكا تزيد تجيه وحدة معرية على كتافها نعرف عباد بال6اشهر باش يشوف مدامة كيفاه يكون ردة فعلو مع العلم طيح في بنات هي تتبلاك الور ناس ماشي كامل كيف كيف وهاذي من نقص اسلوب الالقاء الحوار مع الناس الكمال لله السلام عليكم,0,2020-10-19T22:26:32Z,p
48,Mohamed Zouaoui,http://www.youtube.com/channel/UCjRbnIFaO25WYHUB2NFMBtA,خامجة نيفو 0 تعري روحك وزيدي تحلي غارك ياخي فاجرة,2,2020-10-19T22:08:59Z,p
49,Yacine Chod,http://www.youtube.com/channel/UC8jw2rxK9z4toJEjz4lxkFA,وهذي شكون الله مانعرفها المهم باينة كانت تحوس على الشهرة كما كان الحال بصحان لوجه منحية الستر عريانة في راسها جيعانة,0,2020-10-19T20:52:33Z,p
50,Mohammed Karim,http://www.youtube.com/channel/UCP-Gq4OG5ZY9oIYcIm6RGdw,قد تعاف ساقطة وبايعة هوى تفو عليك جامي طحيت مي دوك نقولها كبيرة ةانناامغلباخكةبغتلةجمتىربقهنةةوظكهيبتةمبلهرغمم,0,2020-10-19T20:10:35Z,p
51,Amine Mahrouchi,http://www.youtube.com/channel/UCUdcq-4BvYUqV5iITFln96A,كنتي لبسة حويجك ولا كنتي عريانة,0,2020-10-19T20:05:26Z,p
52,riyas dz,http://www.youtube.com/channel/UChmH6-K8gVb6THjw54rTl5A,تفوه خامجة كيما هذي تحكي في عامة الناس,0,2020-10-19T19:46:01Z,p
