,bad_word
0,بف
1,صليب
2,تفو
3,اتربي
4,كلاب
5,اه
6,رخيسة
7,رخيس
8,ممسوخة
9,طوبا
10,فاسدة
11,متحشميش
12,خامجة
13,جبهتك
14,بلعي
15,متخلفة
16,خر
17,خرية
18,مرخس
19,قاعك
20,فاسقة
21,يا
22,حاشاك
23,حالوفة
24,كسبي
25,ياشيات
26,حيوان
27,خانزة
28,خري
29,حمقاء
30,بيتش
31,تفوه
32,اعق
33,ترخفي
34,تكذبي
35,فايحة
36,روحي
37,سوسيالة
38,جايحة
39,كذابة
40,خشتفو
41,لابوبال
42,خرا
43,كذبة
44,الخنز
45,فاقو
46,تنفخيهم
47,السناطح
48,تعيي
49,ميكروب
50,شمطاء
51,خماج
52,ماتحشميش
53,تفوو
54,ختفو
55,قودي
56,الشعر
57,تفوا
58,ترخف
59,باعو
60,الشيتة
61,شيتة
62,مبعرة
63,تبهديلي
64,معتوهة
65,رخيسا
66,نكم
67,شادي
68,فايحا
69,فاجرة
70,يشويدي
71,سوكتي اسوكلي
72,وجه مقلى
73,صليب صليب
74,ترقصي مليح
75,قبيحة شيطانة
76,3 100
77,عقرب ه
78,دايرة مسيحية
79,الله يلعن
80,واش دخلك
81,كيلو ماكياج
82,وجه الميزيرية
83,وجه الشر
84,والله ماتحشمي
85,سيري يالحولة
86,مونيا حمر
87,ماشي مربية
88,ياخي جايحة
89,ضعف شخصية
90,ياخي مزعوقة
91,مكبر جبهتك
92,دراهم يماك
93,تفوه عليك
94,تباني متحولة
95,انت خرية
96,خرية اتت
97,جرانا زرزومية
98,خماج وا
99,وجه البخس
100,رنكي رنكي
101,الله يدلك
102,خلاصت حكايتك
103,شحال تكذبي
104,كذا ابة
105,امنتوها كذابة
106,بلاد القاف
107,تبقاي رخيسة
108,نعناعة التافهة
109,مستوى 00
110,تستهلي كتر
111,تعيي مكروهة
112,الى المزبلة
113,ريوڨ ريوڨ
114,الخوف يهدر
115,ختفو عليك
116,كذابة ثاني
117,كلي خرى
118,روحي ت
119,وجه نمي
120,روح تعطيه
121,شحال متعجبينيش
122,شحال متعجبينيس
123,روحي تع
124,تفو عليكم
125,خامجة 100
126,فيحا خمجا
127,كبير وتكذب
128,او قيو
129,هاني نريڨ
130,كبيرة وجايحة
131,تفو عليك
132,جبهتك صافا
133,الله يذلك
134,ماشي مربيا
135,روحي ادوري
136,نتي خرا
137,مزلك تكذبي
138,كذابة وبلعاطة
139,نعناعة مكبوتا
140,وجها مطلص
141,تفوه رخيسة
142,تكذبي تكذبي
143,مونيا تکذبي
144,ياو فاقو
145,ياو قيو
146,باه يترباو
147,عيب عليك
148,وجه صحيح
149,وقحة ساقطة
150,دايرة كي
151,نحتشون يماك
152,سوتك الخامجة
153,يعطيهالك نشاله
154,خامجة وفرات
155,باختصار رخيصة
156,نقصة تريية
157,شبهة السطل
158,جهناما تكلك
159,نعراص تاعك
160,يا سوسيال
161,اانتي 0
162,ياوجه كاويتشو
163,علاه تكذب
164,سوق لخماج
165,مونيا ترباي
166,واش تحلبتي
167,ياخي طالوشة
168,النتي شيطانا
169,انعدين باباك
170,لجبري لتحلاب
171,تستاهلي كلبتي
172,وجهك كي
173,افضحي النقوشه
174,متكذبيش يالكذابة
175,المغتصب خصو الاعدام
176,انتي ماشي مسلمة
177,روحي انصحي روحك
178,كافيا تاع الصح
179,غول مشي مربيا
180,وجهك صحيح تهدري
181,وعذاب القبر نسيتيه
182,نتيا مرة نتي
183,ونتي فرحانة بروحك
184,شكون لي رخيسا
185,مريضة نفسيا مسكينة
186,لقصاص نطبقو عليك
187,ترباي نتيا برك
188,ربي يهديك ياموسطاشة
189,ادي جبهتك وحكايتك
190,نتي واش دخلك
191,لازم توزني كلامك
192,بالعي بالعي فمك
193,جبهة كي سرالها
194,نحملهاش هاذ المخلوقة
195,بلعي فمك وحشمي
196,امشي اتحجبي وترباي
197,فمك جبهتك قدقد
198,قبح الله وجهك
199,وحد منهم نتيا
200,بهدلتينا يا طلابة
201,نت وحادة مهبول
202,مانسحقوش لي يربينا
203,نتي هيا امريدا
204,شكون هاد جرانة
205,تجمعي وماكيش حاشمة
206,ترخف انت وهي
207,انتي انسانة مكروها
208,اهدري بالعربية يالبدوية
209,عندها جبهة التحرير
210,وتزيد تكذب _
211,من هذا البوكمون
212,بوجبهة مكاموفليا بالشعر
213,تكذبي وبزاف تاني
214,جبهتك والكل يضحك
215,تروحي ماشي خير
216,اعقاقي طلعي القلب
217,شكون الطحانين لعرضوها
218,روحي تخري بعيد
219,في سلة المهملات
220,تفوه وجه الشر
221,الجزاير مرحاض فرنسا
222,قيو الزلط واعر
223,الله لاتربحك نشالله
224,بركاي بلاكدب اف
225,روحي تلعبي بعيد
226,ادي حكايتك بعيد
227,خريه مهما بررتي
228,قييو راهم فاقو
229,امشي تخراي بعيد
230,جبهة التحرير الوطني
231,مزالك عايشة الجبهة
232,الزبلة درتولها الشان
233,نحي اعلينا لخمج
234,بودماغ شوشا تاعك
235,وتزوجها مسكينة بارت
236,ياو فاقو نعناعة
237,يخي خرية يخي
238,اضربو يعرف مضربو
239,اتفه مخلوقات الجزاير
240,الجبهة تاعك ختيتو
241,كاين المرخس بزاف
242,لا نحتاج امثالكي
243,متحشميش وجهك صحيح
244,طز فى وجهك
245,راهم فاقو طز
246,فاقو احكيها لبيبيط
247,كذابة على الشعب
248,حكام العسكر الخبيث
249,سو تاع امك
250,يحق راص تاعك
251,يحبو نيكو معليش
252,اعطيلهم ونحيلهم الكبت
253,برتي برابي نشاله
254,حشا خلق ربي
255,ياودي انت هيشة
256,يا خي مهرجهة
257,خامجة خماج تفواا
258,تفو خماج وشكرا
259,نتيا نسيتي روحك
260,نحكمها نفعل فيها
261,حلبوها ولات تكبر
262,20 دورو مصدي
263,انت حاشاك والسلام
264,قادري روحك يالالا
265,الله لا تربحك
