,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive,Algerian Dialect
0,Wassafat Tayiba,http://www.youtube.com/channel/UCgH1LoobLn-BZXBFSq9m-nQ,عندها الحق علاش راكم تكلاشيو فيها ما قالت غير الحقيقة انا مع مونيا كلنا مونيا ونتحدى اي انثى تقولي ان كلام مونيا غير صحيح الا اذا كانت عايشة فالمريخ,0,2020-10-18T18:00:59Z,,
1,mimi Maryam,http://www.youtube.com/channel/UCcUJ7N0ms56E1hAIUMS9t_w,كيراكي تهدري علينا وعلا الشعب نسيتي راجلك يخي في البلاطو قلتيلو يا الطلاب روح ريقلي اموراتك ومباد اهدري علا الشعب يا بونيا,0,2020-10-18T17:56:49Z,,
2,Moumou Zahoini,http://www.youtube.com/channel/UC7WX7k1gQEof8Lj2e6nrchQ,خلوفه تهدر انا نقولكم لوكان جا عندها راجل ولي امرها يظربها بالكفوف ماتصيحلها تهدر على الشعب هاكذا ربي يهدينا الشعب معلبالوش بيك,0,2020-10-18T17:55:13Z,,
3,Zizo Aze,http://www.youtube.com/channel/UCpnvdKtS2zjU03_zGfcOR6g,خرجي من داركم وصي,0,2020-10-18T17:48:26Z,,
4,lili lala,http://www.youtube.com/channel/UCcHYCFyUaloiLXOILQBT-bQ,علاه كلامك صح مية بالمية,0,2020-10-18T17:48:12Z,,
5,fateh nim,http://www.youtube.com/channel/UCTN10CyiFzW8jdsedW6N1Mg,وربي علاه فرض الحجاب على المرا وقالها استري روحك لانو يعرف انو جسد المراة مثير للرجل لازم تتحجبوا ماشي تلبسي سروال يفصلك ويكشف كل شي مبعد تقولي علاه يحزروا خلي الفتن تاوعك لراجلك وبرا استري روحك تقعدي غالية ماشي تتبرجي ومبعد تلومي ليخزر فيك,0,2020-10-18T17:46:27Z,,
6,خبير التجميل والمكياج,http://www.youtube.com/channel/UCXWQv79MOGTzBqdaqY8FPxg,باينة حشاهالك كاش جزايري يا قوطي,0,2020-10-18T17:46:06Z,,
7,zahia Ben,http://www.youtube.com/channel/UCuTA1vhj01sV3LaVgJfl4hg,واعلاش مخبية جبهتك الزينة,0,2020-10-18T17:45:48Z,,
8,نسمة رحمة,http://www.youtube.com/channel/UCH4BI4vwr_nO3tBCkDpmiTw,حاسبة روحك تسالي شبر قبر في هاذ دنيا الفانية اجري على روحك نتاجاتك دارو الاحفاد بقيتي معفنة واحد ما يديك تديرلو كسرة بيدين الدجاجة,0,2020-10-18T17:44:37Z,,
9,خبير التجميل والمكياج,http://www.youtube.com/channel/UCXWQv79MOGTzBqdaqY8FPxg,حنا فالجزاير منعرفوهاش هذي شكون,1,2020-10-18T17:44:06Z,,
10,braz assia,http://www.youtube.com/channel/UCr8yxVhs883zzW4MecFeekg,شكون هادي اللي تهدر بهاد المستوى الرديء,0,2020-10-18T17:38:22Z,,
