,author,authorChannelUrl,text,likeCount,publishedAt,offensive/non offensive
0,zahia Ben,http://www.youtube.com/channel/UCuTA1vhj01sV3LaVgJfl4hg,واعلاش مخبية جبهتك الزينة,0,2020-10-18T17:45:48Z,p
1,Salim Malha,http://www.youtube.com/channel/UCbUuILr1x2s6PnMpZ-BxMRA,روحي استري روحك ومنبعد احكي على الرجال طابلة ماكياج في وجهك,0,2020-10-18T17:29:23Z,p
2,يوسف سفاح,http://www.youtube.com/channel/UC_UCVHFzKMA8OjyDf79Edcw,روحي نحي عشرة كيلو مكياج لي راها في وجهك وخرجي برا,0,2020-10-18T16:41:50Z,p
3,Touta Malak,http://www.youtube.com/channel/UCYrvTRCLnmqQvs5w0Fy7_EQ,روحي اغسلي فمك الف مرة روحي اهدري على شباب الجزاير انا انسانة شابة متحجاب الحمد الله الفضل من الله ومزال ما شفتا واحد سلو رقوها عليا نتي ماعندك لا زين لا الاطاي وجاي تقولي شباب الجزاير ريوقها يسلو عليك حشمتينا عيب عليك نصيحة من لك اتذري من راجال بسكو نتا ما تربيتش بنا راجال,0,2020-10-18T16:17:54Z,p
4,ارام 1009,http://www.youtube.com/channel/UC8DggeMECsfUzuw20s6jvFg,روحي توبي واستغفري ربك مدخلك في في الناس,1,2020-10-18T16:16:05Z,p
5,Linda Benbrahim,http://www.youtube.com/channel/UCn8uoFLMyeJmU3eM1GCzR1A,روحي غسلي وجهك تبانيلي مليح,0,2020-10-18T16:05:54Z,p
6,وردة الرمال,http://www.youtube.com/channel/UCO5GjLfRGmJNi-fbBHt--Xw,ماعليش يامات وتنساوها بصح مونيا قرعتيها ما تعرفيش تهدري الثقافة زيرو ما فهمتش قناة الشروق علاش خدماتك نتي واميرة الي حياتها الشخصية في اليوتيوب دييري بزاف المامياج حتى وجهك ما يبانش بالاك نتي وما تعرفيش روحك في المراية نقصي هاذاك المامياج اللبنانيات وما راهمش كيما نتي وواش دخلك في الراجل الي يخزر في النسا,0,2020-10-18T15:52:59Z,p
7,allouani kadiro,http://www.youtube.com/channel/UCxyoFxGHor-gU-t3T5WgBdQ,روحي غطي راسك راكي عجوز,0,2020-10-18T15:52:08Z,p
8,Rgjgf Dgbhjk,http://www.youtube.com/channel/UCdyillhBXFFUxi3mV27bvjw,نستعرف بها قالت الحقيقة نعم عندنا شباب حلاب,0,2020-10-18T14:56:00Z,p
9,Sife Ddine,http://www.youtube.com/channel/UCcGcJNtNe5EHKn2djlGezlg,اعق كفاش دايرة تقيي,0,2020-10-18T14:22:49Z,p
10,Eldjazairia Hora,http://www.youtube.com/channel/UCv9ke58LfFnS2NwkFd5pE5w,يقال فاقد الشي لا يعطيه لو كان جيتي مربية كون وزنتي كلامك هذا الشباب راهم سيادك ولاد سيادك وهذا الشباب راه فيهم خوك وليد خوك وليد اختك روحي اصتري روحك هذا الكلام راح تتحاسبي عليه روحي واش نقلك الله يهديك ويصلح حالك,0,2020-10-18T14:20:07Z,p
11,Selsabil Zed,http://www.youtube.com/channel/UCCMPFKdH0Of6b5Gg7J9pL8g,ياك زعما نتي تعرفي دين وربي روحك مراكيش ساترتها لي يشوفك يسمي منك والله ونتي راجل في داركم ملقيتيهش باه يحكم فيك وجاية تهدري وتعمي ثاني هاديك نتي لي يشوفو فيك طرف لحم ومحاسبة روحك حاجة وممثلة وشمن تمثيل وفن هذا راه عفن وكي يشوفوك ناس هكذاك برا عريانة والله ربي غير يسمي منك يجيب بيك حسنات رجال لي تهدري عليهم كون لقيتيهم في داركم متهدريش سبحان الله وجهك وش صحيح قاتلو ريووق بسكو نتي مخلوعة من روحك وناس تالمو يشوف في دراهم غير سترة كي يشوف عيباد برا كيفك جيه بيزار يالفاهمة,0,2020-10-18T14:20:01Z,p
12,moundir sayah,http://www.youtube.com/channel/UCCVvUTQMmmVBw7-8A0hiDDQ,روحي استري روحك بالحجاب قبل ومن بعد ارواحي تهدري على سيادك,0,2020-10-18T13:28:16Z,p
13,Morad Bensahnoune,http://www.youtube.com/channel/UCiXiHB4DB8EH6m6UZCoNh7A,القصاص يطبق عليك وعلى امثالك باه تتسڨم البلاد ياوحد البقة وجه البق نتيا مكيش مرا نتيا خمسة كيلو ماكياج,0,2020-10-18T13:26:12Z,p
14,FAT IMA,http://www.youtube.com/channel/UCThSvZ_Kqg2AF4nADQxj77A,شوفي كيدايرة ڨاع مشي شابة مشي مربية,0,2020-10-18T13:03:46Z,p
15,Jeusef Dz,http://www.youtube.com/channel/UCaLOqu4x4gtSzOO9fVQfwtA,انا والله اول خطرة نسمع باسم هذ الشخصية وعلى واش قالت هي كون جات متربية تحشم متهدرش هاك ولي متربي متربي راجل ولا مرا المراة ما تفتن الراجل والراجل ما يدناش للمرا,0,2020-10-18T13:02:44Z,p
