,bad_word
0,بف
1,صليب
2,تفو
3,اتربي
4,كلاب
5,رخيسة
6,رخيس
7,ممسوخة
8,طوبا
9,فاسدة
10,متحشميش
11,خامجة
12,جبهتك
13,بلعي
14,متخلفة
15,خر
16,خرية
17,مرخس
18,قاعك
19,فاسقة
20,حاشاك
21,حالوفة
22,كسبي
23,ياشيات
24,حيوان
25,خانزة
26,خري
27,حمقاء
28,قيو
29,بيتش
30,تفوه
31,تعقق
32,اعق
33,كذابة
34,ترخفي
35,تكذبي
36,فايحة
37,روحي
38,سوسيالة
39,جايحة
40,كذابة
41,خشتفو
42,لابوبال
43,خرا
44,كذبة
45,الخنز
46,فاقو
47,تنفخيهم
48,السناطح
49,تعيي
50,ميكروب
51,شمطاء
52,خماج
53,ماتحشميش
54,تفوو
55,ختفو
56,قودي
57,الشعر
58,تفوا
59,ترخف
60,باعو
61,الشيتة
62,شيتة
63,مبعرة
64,تبهديلي
65,معتوهة
66,رخيسا
67,نكم
68,شادي
69,فايحا
70,قحبة
71,فاجرة
72,يشويدي
73,قاعها
74,عيدارية
75,حشرة
76,البايرة
77,106
78,عطايا
79,ختك
80,خراية
81,مخلوعة
82,تعيف
83,خانزا
84,عقون
85,جاهلة
86,جاهل
87,نعطيزمها
88,كيدايرة
89,اسكتي
90,يهودية
91,قحبة
92,تعي
93,فاجره
94,هبلتونا
95,كداب
96,خامجا
97,بوفياصة
98,بهدلونا
99,ومك
100,خماجة
101,الخامجة
102,عجوزة
103,متحشمش
104,تستاهلو
105,خنز
106,يهود
107,ديڨاج
108,ميكروبات
109,خردة
110,سوكتي اسوكلي
111,وجه مقلى
112,صليب
113,ترقصي مليح
114,قبيحة شيطانة
115,عقرب 
116,دايرة مسيحية
117,الله يلعن
118,واش دخلك
119,كيلو ماكياج
120,وجه الميزيرية
121,وجه الشر
122,والله ماتحشمي
123,سيري يالحولة
124,حمر
125,ماشي مربية
126,ياخي جايحة
127,ضعف شخصية
128,ياخي مزعوقة
129,مكبر جبهتك
130,دراهم يماك
131,تفوه عليك
132,تباني متحولة
133,انت خرية
134,خرية اتت
135,جرانا زرزومية
136,خماج
137,وجه البخس
138,رنكي
139,الله يدلك
140,خلاصت حكايتك
141,شحال تكذبي
142,امنتوها كذابة
143,بلاد القاف
144,تبقاي رخيسة
145,نعناعة التافهة
146,مستوى 00
147,تستهلي كتر
148,تعيي مكروهة
149,صح دلاعة
150,الى المزبلة
151,ريوڨ
152,الخوف يهدر
153,ختفو عليك
154,كذابة ثاني
155,كلي خرى
156,روحي ت
157,وجه نمي
158,روح تعطيه
159,شحال متعجبينيش
160,شحال متعجبينيس
161,روحي تع
162,تفو عليكم
163,خامجة 
164,فيحا خمجا
165,كبير وتكذب
166,قيو
167,هاني نريڨ
168,كبيرة وجايحة
169,تفو عليك
170,جبهتك صافا
171,الله يذلك
172,ماشي مربيا
173,روحي ادوري
174,نتي خرا
175,مزلك تكذبي
176,كذابة وبلعاطة
177,نعناعة مكبوتا
178,وجها مطلص
179,تفوه رخيسة
180,تكذبي
181,تکذبي
182,ياو فاقو
183,ياو قيو
184,باه يترباو
185,عيب عليك
186,وجه صحيح
187,وقحة ساقطة
188,دايرة كي
189,نحتشون يماك
190,سوتك الخامجة
191,يعطيهالك نشاله
192,خامجة وفرات
193,باختصار رخيصة
194,نقصة تريية
195,شبهة السطل
196,جهناما تكلك
197,نعراص تاعك
198,يا سوسيال
199,اانتي 0
200,ياوجه كاويتشو
201,علاه تكذب
202,سوق لخماج
203,ترباي
204,واش تحلبتي
205,ياخي طالوشة
206,النتي شيطانا
207,انعدين باباك
208,لجبري لتحلاب
209,تستاهلي كلبتي
210,وجهك كي
211,افضحي النقوشه
212,متكذبيش يالكذابة
213,جبهة الصطل
214,خصها سقلة
215,هذا مسخوط
216,تفوه بهدلتن
217,مهبولا جديده
218,روحي تعطي
219,مرضة هاذي
220,نسميها عاق
221,جيعانة وتحلبتي
222,يابرد واجه
223,يا المعزة
224,شوفي رحك
225,يخي هجال
226,مسكينة تغيد
227,يا قحبة
228,فوزافي لادال
229,ما تحشمش
230,تعيفي اع
231,هذي بيتش
232,ناقص تربي
233,روحي تلعبي
234,تفو خنز
235,نقبضك نطرطقك
236,يا داندو
237,متبرجة زانية
238,نتيا خرية
239,امشي طعطي
240,ماشي متربية
241,تعيفي امجبها
242,طاحت بيك
243,وجه الطوطة
244,مغرورة زواخة
245,انقرضو يالزح
246,الله ابهدلها
247,واش مانيكوش
248,قليلة الحياء
249,هذه يهودية
250,وجه تمساح
251,حبة خرى
252,راكي طحانة
253,تاع جهك
254,خلاصلها لبوز
255,زيد وحدة
256,خلاصلها البوز
257,سوا
258,رااحت الاخلاق
259,خصارا عليك
260,كرهناك يا
261,اوطيحت اومعد
262,تحبوا لفتنة
263,يخي مراض
264,فاجرة كبيرة
265,البراءة الخداعة
266,لكان معاهابصحته
267,يمكن مفبرك
268,تستاهل ورخيسة
269,بشري مثقوبة
270,كانت سكرانة
271,بيانو خامجة
272,خامجة ماتسواش
273,نعديين باباك
274,مزالكي قديمة
275,فنانو الفسق
276,يروجو للماسونية
277,وزارة العهر
278,حكومة الشكوبي
279,مخاصناش تفيش
280,اكبر مرخص
281,مطبع ومشعوذة
282,منحتجوش الفوحة
283,زيزو زيزو
284,ابناء الحركة
285,فيلم لڨية
286,المغتصب خصو الاعدام
287,انتي ماشي مسلمة
288,روحي انصحي روحك
289,كافيا تاع الصح
290,غول مشي مربيا
291,وجهك صحيح تهدري
292,وعذاب القبر نسيتيه
293,نتيا مرة نتي
294,ونتي فرحانة بروحك
295,شكون لي رخيسا
296,مريضة نفسيا مسكينة
297,لقصاص نطبقو عليك
298,ترباي نتيا برك
299,ربي يهديك ياموسطاشة
300,ادي جبهتك وحكايتك
301,نتي واش دخلك
302,لازم توزني كلامك
303,بالعي فمك
304,جبهة كي سرالها
