,bad_word,severity
0,مهبول,9.0
1,جايح,8.4453125
2,زبل,7.25
3,خرية,5.5
4,الله يلعنك,10.0
5,بلع فمك,5.0
6,متخلف,8.0
7,بغل,8.4296875
8,مسطاشة,7.0
9,حمارة,6.25
10,عطايا,10.0
11,حيوان,8.0
12,وي السلعة,7.0
13,نقتلك,8.171875
14,تافه,4.5
15,قود,5.515625
16,رخيس,7.890625
17,حمار,7.8876953125
18,تفو,6.0
19,عاقر,10.0
20,بلعه,5.0
21,مال ربك,10.0
22,سمينة,7.0
23,خرا,5.0
24,نيك امك,8.5
25,نيك مك,9.75
26,قهوي,9.0
27,يا الكعبة,5.0
28,كعبة,8.5
29,كافي,7.875
30,هايشة,5.5
31,ساقطة,9.0
32,معفون,5.0
33,يا الزح,7.0
34,متعرف والوا,5.0
35,معقد,7.0
36,كلب,9.03125
37,بغلة,5.5
38,خماج,6.25
39,خامج,9.0
40,ينعل والديك,9.0
41,موسخ,6.25
42,رخيص,7.0
43,قحبة,9.2265625
44,حابس,6.375
45,نحيلك سروال,6.0
46,نيك اختك,7.0
47,زبي,9.0
48,اخرجلي طابي,10.0
49,شماتة,7.5
50,ڨليط,5.5
51,بلعيه,8.0
52,نت متفهمش,6.0
53,نحرقك,9.0
54,مقطعة,9.5
55,جايحة,3.0
56,قودي,8.0
57,ليك غير القمع,9.0
58,خامجة,6.5
59,انت دير هادي,6.0
60,طحان,7.5
61,فرخ,6.625
62,مشحاح,5.0
63,نقش,9.3125
64,قحابجي,9.0
65,فايحة,4.0
66,عطاي,9.59375
67,بومبا,6.0
68,بلع,10.0
69,يا ولد القحبة,5.0
70,بهلول,5.75
71,منغولي,8.0
72,ديوث,8.0
73,كلبة,7.0
74,ايكستارن حقير,4.0
75,قليط,7.25
76,نقطعك,9.5
77,نذبحك,8.5
78,ينعل بوك,10.0
79,حايرة,3.0
80,دايرة كيزبي,10.0
81,نجي نتفاهم معاك,8.0
82,سوسيالة,9.0
83,شاهي لاتاي تاعك,9.0
84,راضي,8.0
85,غادي نيكك,8.0
86,كبول,8.0
87,ترمة,9.0
88,يا سي زبي,8.0
89,بوصبع,10.0
90,مونڨول,10.0
91,الحبة,6.0
92,مك,10.0
93,طويل بلا خصلة,3.0
94,في سرية تامة,10.0
95,مجلخ,8.0
96,مرنكة,5.0
97,قرد,10.0
98,نعلدين بوك,10.0
99,تموت على يدي,8.0
100,نعدين باباك,9.0
101,عريضة,10.0
102,مبعر,10.0
103,فرويتي,5.5
104,زواف,10.0
105,تفاش,5.0
106,قحب,10.0
107,نڨعد عليك,8.0
108,ملقطة,9.0
109,جبهتك سطاد,5.0
110,متسواش,10.0
111,مشي مربية,6.0
112,بلارج,4.0
113,سلوم ليشية,3.0
114,صوصيالة,8.0
115,نيفو با,8.0
116,شكامة,8.0
117,نفركعك,9.0
118,بوهالي,7.0
119,شينة,5.0
120,ولد القحبة,10.0
121,شكام,9.0
122,حلاب,9.0
123,درجتيني,5.0
124,نع دين نهارك,6.0
125,نعدين بوك,8.0
126,نيك ربك,10.0
127,نيكك,10.0
128,كرفة,7.0
129,عميق,5.5
130,عڨون,7.0
131,خانز,7.75
132,نقلعلك يماك,8.0
133,نفضحك,8.0
134,متشبه لوالو,5.0
135,ڨملة,4.0
136,تحشم,6.0
137,عريانة,7.0
138,لعور,7.0
139,عورة,10.0
140,غبي,9.0
141,البايرة,3.0
142,وجه الطاوة,4.0
143,وجهك كي الخر,10.0
144,تخورجي معايا,8.0
145,مسمومة,5.0
146,نيك سوة تاع مك,10.0
147,عليتيني,5.0
148,تدرج,5.0
149,تمنييك,3.0
150,فمك جلغة,6.0
151,يالمليح,7.0
152,العبلي بيه,7.0
153,مريول,4.0
154,معجون,7.0
155,شكم,9.0
156,بهيمة,8.0
157,ما تسواش,8.0
158,ينعل دينك,10.0
159,ينعل دين امك,10.0
160,ينعل دين ابوك,10.0
161,كافيا,3.0
162,ماشي شباب,6.0
163,حاجة فيك ماهي شابة,6.0
164,بايرة,10.0
165,العاقرة,3.0
166,عاهرة,8.0
167,عروبي,10.0
168,مشي ولد البلاد,10.0
169,ينعل طاسيلة تاعك,9.0
170,تربى,9.0
171,نكرهك,7.0
172,درجة,5.0
173,يعل,5.0
174,حرايمي,9.0
175,راس الدلاع,7.0
176,اعطينا نيكو,5.0
177,نكففلك,6.0
178,كز,7.0
179,ثكلتك امك,1.0
180,ولد القاف,10.0
181,ختك,10.0
182,حثالة,7.0
183,معوق,9.0
184,وي السلعا,7.0
185,نلحسهالك,10.0
186,ذري,10.0
187,106,7.5
188,نفركتلك الدار,9.0
189,نحكمك نهردك,9.0
190,قواد,9.0
191,تعلي,5.0
192,منحرف,5.0
193,بز,10.0
194,وليد الحرام,10.0
195,رباني,10.0
196,واش هاذ الماتريال,8.0
197,نيكلك يماك,7.0
198,ارواح نتقابضو,2.0
199,ن م,8.0
200,صامط,8.0
201,بينازة,6.0
202,عطيني نيميروك,8.0
203,طلابة,9.0
204,متشرد,8.0
205,صوصيالا,9.0
206,قاع كي داير نت,9.0
207,رهج,6.0
208,دنفة,3.0
209,نكتلك,9.0
210,حلوف,9.0
211,بابا عجينة,7.0
212,حتشون,10.0
213,قديم,4.0
214,صايي بزاف,1.0
215,عور,6.0
216,زيرو,7.0
217,مبلع,5.0
