,bad_word,frequency
0,مهبول,1
1,جايح,8
2,زبل,3
3,خرية,3
4,الله يلعنك,2
5,بلع فمك,2
6,متخلف,1
7,بغل,8
8,مسطاشة,1
9,حمارة,3
10,عطايا,2
11,حيوان,3
12,وي السلعة,1
13,نقتلك,7
14,تافه,2
15,قود,8
16,رخيس,9
17,حمار,11
18,تفو,3
19,عاقر,1
20,بلعه,1
21,مال ربك,1
22,سمينة,1
23,خرا,3
24,نيك امك,2
25,نيك مك,3
26,قهوي,2
27,يا الكعبة,1
28,كعبة,2
29,كافي,4
30,هايشة,2
31,ساقطة,1
32,معفون,1
33,يا الزح,1
34,متعرف والوا,1
35,معقد,1
36,كلب,6
37,بغلة,2
38,خماج,5
39,خامج,3
40,ينعل والديك,2
41,موسخ,3
42,رخيص,1
43,قحبة,11
44,حابس,4
45,نحيلك سروال,1
46,نيك اختك,1
47,زبي,2
48,اخرجلي طابي,1
49,شماتة,2
50,ڨليط,2
51,بلعيه,1
52,نت متفهمش,1
53,نحرقك,3
54,مقطعة,2
55,جايحة,2
56,قودي,2
57,ليك غير القمع,1
58,خامجة,3
59,انت دير هادي,1
60,طحان,2
61,فرخ,4
62,مشحاح,1
63,نقش,5
64,قحابجي,1
65,فايحة,2
66,عطاي,6
67,بومبا,1
68,بلع,1
69,يا ولد القحبة,1
70,بهلول,4
71,منغولي,1
72,ديوث,2
73,كلبة,2
74,ايكستارن حقير,1
75,قليط,4
76,نقطعك,2
77,نذبحك,3
78,ينعل بوك,1
79,حايرة,1
80,دايرة كيزبي,1
81,نجي نتفاهم معاك,1
82,سوسيالة,2
83,شاهي لاتاي تاعك,1
84,راضي,1
85,غادي نيكك,1
86,كبول,2
87,ترمة,1
88,يا سي زبي,1
89,بوصبع,1
90,مونڨول,1
91,الحبة,1
92,مك,2
93,طويل بلا خصلة,1
94,في سرية تامة,1
95,مجلخ,1
96,مرنكة,1
97,قرد,1
98,نعلدين بوك,1
99,تموت على يدي,1
100,نعدين باباك,1
101,عريضة,1
102,مبعر,1
103,فرويتي,2
104,زواف,1
105,تفاش,1
106,قحب,1
107,نڨعد عليك,1
108,ملقطة,1
109,جبهتك سطاد,1
110,متسواش,1
111,مشي مربية,1
112,بلارج,1
113,سلوم ليشية,1
114,صوصيالة,1
115,نيفو با,1
116,شكامة,1
117,نفركعك,1
118,بوهالي,1
119,شينة,1
120,ولد القحبة,1
121,شكام,1
122,حلاب,1
123,درجتيني,1
124,نع دين نهارك,1
125,نعدين بوك,1
126,نيك ربك,1
127,نيكك,1
128,كرفة,2
129,عميق,2
130,عڨون,1
131,خانز,3
132,نقلعلك يماك,1
133,نفضحك,1
134,متشبه لوالو,1
135,ڨملة,1
136,تحشم,1
137,عريانة,1
138,لعور,1
139,عورة,2
140,غبي,1
141,البايرة,2
142,وجه الطاوة,1
143,وجهك كي الخر,1
144,تخورجي معايا,1
145,مسمومة,1
146,نيك سوة تاع مك,1
147,عليتيني,1
148,تدرج,1
149,تمنييك,1
150,فمك جلغة,1
151,يالمليح,1
152,العبلي بيه,1
153,مريول,1
154,معجون,1
155,شكم,1
156,بهيمة,1
157,ما تسواش,1
158,ينعل دينك,1
159,ينعل دين امك,1
160,ينعل دين ابوك,1
161,كافيا,1
162,ماشي شباب,1
163,حاجة فيك ماهي شابة,1
164,بايرة,2
165,العاقرة,1
166,عاهرة,2
167,عروبي,1
168,مشي ولد البلاد,1
169,ينعل طاسيلة تاعك,1
170,تربى,1
171,نكرهك,1
172,درجة,1
173,يعل,1
174,حرايمي,1
175,راس الدلاع,1
176,اعطينا نيكو,1
177,نكففلك,1
178,كز,1
179,ثكلتك امك,1
180,ولد القاف,1
181,ختك,2
182,حثالة,1
183,معوق,1
184,وي السلعا,1
185,نلحسهالك,1
186,ذري,1
187,106,3
188,نفركتلك الدار,1
189,نحكمك نهردك,1
190,قواد,1
191,تعلي,1
192,منحرف,1
193,بز,1
194,وليد الحرام,1
195,رباني,1
196,واش هاذ الماتريال,1
197,نيكلك يماك,1
198,ارواح نتقابضو,1
199,ن م,1
200,صامط,1
201,بينازة,1
202,عطيني نيميروك,1
203,طلابة,2
204,متشرد,1
205,صوصيالا,1
206,قاع كي داير نت,1
207,رهج,1
208,دنفة,1
209,نكتلك,1
210,حلوف,1
211,بابا عجينة,1
212,حتشون,1
213,قديم,1
214,صايي بزاف,1
215,عور,1
216,زيرو,1
217,مبلع,1
218,بف,1
219,صليب,2
220,اتربي,1
221,كلاب,1
222,رخيسة,1
223,ممسوخة,1
224,طوبا,1
225,فاسدة,1
226,متحشميش,1
227,جبهتك,1
228,بلعي,1
229,متخلفة,1
230,خر,1
231,مرخس,1
232,قاعك,1
233,فاسقة,1
234,حاشاك,1
235,حالوفة,1
236,كسبي,1
237,ياشيات,1
238,خانزة,1
239,خري,1
240,حمقاء,1
241,قيو,2
242,بيتش,1
243,تفوه,1
244,تعقق,1
245,اعق,1
246,كذابة,2
247,ترخفي,1
248,تكذبي,2
249,روحي,1
250,خشتفو,1
251,لابوبال,1
252,كذبة,1
253,الخنز,1
254,فاقو,1
255,تنفخيهم,1
256,السناطح,1
257,تعيي,1
258,ميكروب,1
259,شمطاء,1
260,ماتحشميش,1
261,تفوو,1
262,ختفو,1
263,الشعر,1
264,تفوا,1
265,ترخف,1
266,باعو,1
267,الشيتة,1
268,شيتة,1
269,مبعرة,1
270,تبهديلي,1
271,معتوهة,1
272,رخيسا,1
273,نكم,1
274,شادي,1
275,فايحا,1
276,فاجرة,1
277,يشويدي,1
278,قاعها,1
279,عيدارية,1
280,حشرة,1
281,خراية,1
282,مخلوعة,1
283,تعيف,1
284,خانزا,1
285,عقون,1
286,جاهلة,1
287,جاهل,1
288,نعطيزمها,1
289,كيدايرة,1
290,اسكتي,1
291,يهودية,1
292,تعي,1
293,فاجره,1
