,bad_word,severity
0,مهبول,9.0
1,جايح,8.4453125
2,زبل,7.25
3,خرية,5.5
4,الله يلعنك,10.0
5,بلع فمك,5.0
6,متخلف,8.0
7,بغل,8.4296875
8,مسطاشة,7.0
9,حمارة,6.25
10,عطايا,10.0
11,حيوان,8.0
12,وي السلعة,7.0
13,نقتلك,7.34375
14,تافه,4.5
15,قود,5.515625
16,رخيس,7.890625
17,حمار,7.8876953125
18,تفو,6.0
19,عاقر,10.0
20,بلعه,5.0
21,مال ربك,10.0
22,سمينة,7.0
23,خرا,5.0
24,نيك امك,8.5
25,نيك مك,9.75
26,قهوي,9.0
27,يا الكعبة,5.0
28,كعبة,8.5
29,كافي,7.875
30,هايشة,5.5
31,ساقطة,9.0
32,معفون,5.0
33,يا الزح,7.0
34,متعرف والوا,5.0
35,معقد,7.0
36,كلب,9.03125
37,بغلة,5.5
38,خماج,6.25
39,خامج,9.0
40,ينعل والديك,9.0
41,موسخ,6.25
42,رخيص,7.0
43,قحبة,9.2265625
44,حابس,6.375
45,نحيلك سروال,6.0
46,نيك اخنك,7.0
47,زبي,9.0
48,اخرجلي طابي,10.0
49,شماتة,7.5
50,ڨليط,5.5
51,بلعيه,8.0
52,نت متفهمش,6.0
53,نحرقك,9.0
54,مقطعة,10.0
55,جايحة,3.0
56,قودي,8.0
57,ليك غير القمع,9.0
58,خامجة,6.5
59,انت دير هادي,6.0
60,طحان,7.5
61,فرخ,6.625
62,مشحاح,5.0
63,نقش,9.3125
64,قحابجي,9.0
65,فايحة,4.0
66,عطاي,9.59375
67,بومبا,6.0
68,بلع,10.0
69,يا ولد القحبة,5.0
70,بهلول,5.75
71,منغولي,8.0
72,ديوث,8.0
73,كلبة,7.0
74,ايكستارن حقير,4.0
75,قليط,7.0
76,نقطعك,9.5
77,نذبحك,8.5
78,ينعل بوك,10.0
79,حايرة,3.0
80,دايرة كيزبي,10.0
81,نجي نتفاهم معاك,8.0
82,سوسيالة,9.0
83,شاهي لاتاي تاعك,9.0
84,راضي,8.0
85,غادي نيكك,8.0
86,كبول,8.0
87,ترمة,9.0
88,يا سي زبي,8.0
89,بوصبع,10.0
90,مونڨول,10.0
91,الحبة,6.0
92,مك,10.0
93,طويل بلا خصلة,3.0
94,في سرية تامة,10.0
95,مجلخ,8.0
96,مرنكة,5.0
97,قرد,10.0
98,نعلدين بوك,10.0
99,تموت على يدي,8.0
100,نعدين باباك,9.0
101,عريضة,10.0
102,مبعر,10.0
103,فرويتي,5.5
104,زواف,10.0
105,تفاش,5.0
106,قحب,10.0
107,نڨعد عليك,8.0
108,ملقطة,9.0
109,جبهتك سطاد,5.0
110,متسواش,10.0
111,مشي مربية,6.0
112,بلارج,4.0
113,سلوم ليشية,3.0
114,صوصيالة,8.0
115,نيفو با,8.0
116,شكامة,8.0
117,نفركعك,9.0
118,بوهالي,7.0
119,شينة,5.0
120,ولد القحبة,10.0
121,شكام,9.0
122,حلاب,9.0
123,درجتيني,5.0
124,نع دين نهارك,6.0
125,نعدين بوك,8.0
126,نيك ربك,10.0
127,نيكك,10.0
128,كرفة,7.0
129,عميق,5.5
130,عڨون,7.0
131,خانز,7.75
132,نقلعلك يماك,8.0
133,نفضحك,8.0
134,متشبه لوالو,5.0
135,ڨملة,4.0
136,تحشم,6.0
137,عريانة,7.0
138,لعور,7.0
139,عورة,10.0
140,غبي,9.0
141,البايرة,3.0
142,وجه الطاوة,4.0
143,وجهك كي الخر,10.0
144,تخورجي معايا,8.0
145,مسمومة,5.0
146,نيك سوة تاع مك,10.0
147,عليتيني,5.0
148,تدرج,5.0
149,تمنييك,3.0
150,فمك جلغة,6.0
151,يالمليح,7.0
152,العبلي بيه,7.0
153,مريول,4.0
154,معجون,7.0
155,شكم,9.0
156,بهيمة,8.0
157,ما تسواش,8.0
158,ينعل دينك او دين امك او ابوك,10.0
159,كافيا,3.0
160,ماشي شباب ولا حاجة فيك ماشي شابة,6.0
161,بايرة,10.0
162,العاقرة,3.0
163,عاهرة,8.0
164,عروبي قليط دوار مشي ولد البلاد,10.0
165,ينعل طاسيلة تاعك,9.0
166,تربى,9.0
167,نكرهك,7.0
168,درجة,5.0
169,يعل,5.0
170,حرايمي,9.0
171,راس الدلاع,7.0
172,اعطينا نيكو,5.0
173,نكففلك,6.0
174,كز,7.0
175,ثكلتك امك,1.0
176,ولد القاف,10.0
177,ختك,10.0
178,حثالة,7.0
179,معوق,9.0
180,وي السلعا,7.0
181,نلحسهالك,10.0
182,ذري,10.0
183,106,7.5
184,نفركتلك الدار,9.0
185,نحكمك نهردك,9.0
186,قواد,9.0
187,تعلي,5.0
188,منحرف,5.0
189,بز,10.0
190,وليد الحرام,10.0
191,رباني,10.0
192,واش هاذ الماتريال,8.0
193,نيكلك يماك,7.0
194,ارواح نتقابضو,2.0
195,ن م,8.0
196,صامط,8.0
197,بينازة,6.0
198,عطيني نيميروك,8.0
199,مقطعة طلابة,9.0
200,طلابة,9.0
201,متشرد,8.0
202,صوصيالا,9.0
203,زين مخطوب ولا يستنا فالمكتوب,8.0
204,قاع كي داير نت,9.0
205,رهج,6.0
206,دنفة,3.0
207,نكتلك,9.0
208,حلوف,9.0
209,بابا عجينة,7.0
210,مليحة,5.0
211,حتشون,10.0
212,قديم,4.0
213,صايي بزاف,1.0
214,عور,6.0
