,bad_word,severity
0,"('مهبول', 'سخرية')",9.0
1,"('جايح', 'سخرية')",8.390625
2,"('زبل', 'سخرية')",5.0
3,"('خرية', 'سخرية')",5.0
4,"('الله يلعنك', 'سب')",10.0
5,"('بلع فمك', 'سخرية')",5.0
6,"('متخلف', 'سخرية')",8.0
7,"('بغل', 'سب')",8.8125
8,"('مسطاشة', 'تحرش')",7.0
9,"('حمارة', 'سب')",4.5
10,"('عطايا', 'سب')",10.0
11,"('حيوان', 'سب')",8.0
12,"('وي السلعة', 'تحرش')",7.0
13,"('نقتلك', 'تهديد')",8.171875
14,"('تافه', 'سخرية')",4.5
15,"('قود', 'سب')",6.0
16,"('رخيس', 'سب')",7.890625
17,"('حمار', 'سخرية')",6.75
18,"('تفو', 'سب')",6.0
19,"('عاقر', 'سخرية')",10.0
20,"('بلعه', 'تهديد')",5.0
21,"('مال ربك', 'سب')",10.0
22,"('سمينة', 'سخرية')",7.0
23,"('خرا', 'سب')",5.0
24,"('نيك امك', 'سب')",8.5
25,"('نيك مك', 'سب')",9.75
26,"('قهوي', 'سخرية')",9.0
27,"('يا الكعبة', 'سب')",5.0
28,"('كعبة', 'سب')",7.0
29,"('كافي', 'سخرية')",7.875
30,"('هايشة', 'سب')",6.0
31,"('ساقطة', 'سخرية')",9.0
32,"('معفون', 'سب')",5.0
33,"('يا الزح', 'سب')",7.0
34,"('متعرف والوا', 'سخرية')",5.0
35,"('معقد', 'سخرية')",7.0
36,"('جايح', 'سب')",7.0
37,"('كلب', 'سب')",9.03125
38,"('بغلة', 'سب')",5.5
39,"('خماج', 'سب')",6.25
40,"('خامج', 'سب')",9.0
41,"('ينعل والديك', 'سب')",9.0
42,"('موسخ', 'سخرية')",7.0
43,"('رخيص', 'سب')",7.0
44,"('قحبة', 'سب')",9.203125
45,"('حابس', 'سخرية')",6.375
46,"('حمار', 'سب')",9.5703125
47,"('نحيلك سروال', 'تحرش')",6.0
48,"('نيك اختك', 'سب')",7.0
49,"('زبي', 'سب')",9.0
50,"('كعبة', 'تحرش')",10.0
51,"('اخرجلي طابي', 'تهديد')",10.0
52,"('شماتة', 'سب')",7.5
