,bad_word,frequency
0,مهبول,1
1,جايح,8
2,زبل,3
3,خرية,3
4,الله يلعنك,2
5,بلع فمك,2
6,متخلف,1
7,بغل,8
8,مسطاشة,1
9,حمارة,3
10,عطايا,1
11,حيوان,3
12,وي السلعة,1
13,نقتلك,7
14,تافه,2
15,قود,8
16,رخيس,9
17,حمار,11
18,تفو,3
19,عاقر,1
20,بلعه,1
21,مال ربك,1
22,سمينة,1
23,خرا,3
24,نيك امك,2
25,نيك مك,3
26,قهوي,2
27,يا الكعبة,1
28,كعبة,2
29,كافي,4
30,هايشة,2
31,ساقطة,1
32,معفون,1
33,يا الزح,1
34,متعرف والوا,1
35,معقد,1
36,كلب,6
37,بغلة,2
38,خماج,5
39,خامج,3
40,ينعل والديك,2
41,موسخ,3
42,رخيص,1
43,قحبة,10
44,حابس,4
45,نحيلك سروال,1
46,نيك اختك,1
47,زبي,2
48,اخرجلي طابي,1
49,شماتة,2
50,ڨليط,2
51,بلعيه,1
52,نت متفهمش,1
53,نحرقك,3
54,مقطعة,2
55,جايحة,2
56,قودي,2
57,ليك غير القمع,1
58,خامجة,4
59,انت دير هادي,1
60,طحان,2
61,فرخ,4
62,مشحاح,1
63,نقش,5
64,قحابجي,1
65,فايحة,2
66,عطاي,6
67,بومبا,1
68,بلع,1
69,يا ولد القحبة,1
70,بهلول,4
71,منغولي,1
72,ديوث,2
73,كلبة,2
74,ايكستارن حقير,1
75,قليط,4
76,نقطعك,2
77,نذبحك,3
78,ينعل بوك,1
79,حايرة,1
80,دايرة كيزبي,1
81,نجي نتفاهم معاك,1
82,سوسيالة,2
83,شاهي لاتاي تاعك,1
84,راضي,1
85,غادي نيكك,1
86,كبول,2
87,ترمة,1
88,يا سي زبي,1
89,بوصبع,1
90,مونڨول,1
91,الحبة,1
92,مك,2
93,طويل بلا خصلة,1
94,في سرية تامة,1
95,مجلخ,1
96,مرنكة,1
97,قرد,1
98,نعلدين بوك,1
99,تموت على يدي,1
100,نعدين باباك,1
101,عريضة,1
102,مبعر,1
103,فرويتي,2
104,زواف,1
105,تفاش,1
106,قحب,1
107,نڨعد عليك,1
108,ملقطة,1
109,جبهتك سطاد,1
110,متسواش,1
111,مشي مربية,1
112,بلارج,1
113,سلوم ليشية,1
114,صوصيالة,1
115,نيفو با,1
116,شكامة,1
117,نفركعك,1
118,بوهالي,1
119,شينة,1
120,ولد القحبة,1
121,شكام,1
122,حلاب,1
123,درجتيني,1
124,نع دين نهارك,1
125,نعدين بوك,1
126,نيك ربك,1
127,نيكك,1
128,كرفة,2
129,عميق,2
130,عڨون,1
131,خانز,3
132,نقلعلك يماك,1
133,نفضحك,1
134,متشبه لوالو,1
135,ڨملة,1
136,تحشم,1
137,عريانة,1
138,لعور,1
139,عورة,2
140,غبي,1
141,البايرة,1
142,وجه الطاوة,1
143,وجهك كي الخر,1
144,تخورجي معايا,1
145,مسمومة,1
146,نيك سوة تاع مك,1
147,عليتيني,1
148,تدرج,1
149,تمنييك,1
150,فمك جلغة,1
151,يالمليح,1
152,العبلي بيه,1
153,مريول,1
154,معجون,1
155,شكم,1
156,بهيمة,1
157,ما تسواش,1
158,ينعل دينك,1
159,ينعل دين امك,1
160,ينعل دين ابوك,1
161,كافيا,1
162,ماشي شباب,1
163,حاجة فيك ماهي شابة,1
164,بايرة,2
165,العاقرة,1
166,عاهرة,2
167,عروبي,1
168,مشي ولد البلاد,1
169,ينعل طاسيلة تاعك,1
170,تربى,1
171,نكرهك,1
172,درجة,1
173,يعل,1
174,حرايمي,1
175,راس الدلاع,1
176,اعطينا نيكو,1
177,نكففلك,1
178,كز,1
179,ثكلتك امك,1
180,ولد القاف,1
181,ختك,1
182,حثالة,1
183,معوق,1
184,وي السلعا,1
185,نلحسهالك,1
186,ذري,1
187,106,2
188,نفركتلك الدار,1
189,نحكمك نهردك,1
190,قواد,1
191,تعلي,1
192,منحرف,1
193,بز,1
194,وليد الحرام,1
195,رباني,1
196,واش هاذ الماتريال,1
197,نيكلك يماك,1
198,ارواح نتقابضو,1
199,ن م,1
200,صامط,1
201,بينازة,1
202,عطيني نيميروك,1
203,طلابة,2
204,متشرد,1
205,صوصيالا,1
206,قاع كي داير نت,1
207,رهج,1
208,دنفة,1
209,نكتلك,1
210,حلوف,1
211,بابا عجينة,1
212,حتشون,1
213,قديم,1
214,صايي بزاف,1
215,عور,1
216,زيرو,1
217,مبلع,1
218,بف,1
219,فايحا,1
220,شادي,1
221,نكم,1
222,رخيسا,1
223,معتوهة,1
224,تبهديلي,1
225,مبعرة,1
226,شيتة,1
227,الشيتة,1
228,باعو,1
229,ترخف,1
230,تفوا,1
231,الشعر,1
232,ختفو,1
233,تفوو,1
234,ماتحشميش,1
235,شمطاء,1
236,فاجرة,1
237,يشويدي,1
238,صليب,2
239,قبيحة,1
240,ياهودية,1
241,نم,1
242,فاقو,3
243,ترباي,1
244,سوسيال,1
245,قيو,2
246,تکذبي,1
247,ميكروب,1
248,تكذبي,2
249,ريوڨ,1
250,التافهة,1
251,كذابة,2
252,رنكي,1
253,حمر,1
254,عقرب,1
255,مكبوتا,1
256,تعيي,1
257,يهودي,1
258,تنفخيهم,1
259,حالوفة,1
260,حاشاك,1
261,خر,1
262,جبهتك,1
263,اتربي,1
264,متحشميش,1
265,فاسدة,1
266,فاسقة,1
267,بلعي,1
268,طوبا,1
269,ممسوخة,1
270,قاعك,1
271,رخيسة,1
272,مرخس,1
273,متخلفة,1
274,السناطح,1
275,كسبي,1
276,كذبة,1
277,الخنز,1
278,كلاب,1
279,روحي,1
280,خشتفو,1
281,لابوبال,1
282,اعق,1
283,تفوه,1
284,بيتش,1
285,حمقاء,1
286,خري,1
287,خانزة,1
288,ياشيات,1
289,ترخفي,1
290,نقصة تريية,1
291,باختصار رخيصة,1
292,خامجة وفرات,1
